"user_id","full_text","retweet_count","favorite_count","concern"
1.2e+18,"I think Biden’s Administration is responsible for the Delta Variant.
Who the hell is coming into our country through ‘Biden’s open borders?’ Biden has no clue!
Hell they’re putting illegals on buses &amp; scattering them throughout the country unvaccinated. 
They’re spreading germs!",504,719,"authority"
1.24e+18,"@TrilbySmith2 Mind controlled masses fail to realize the royals ""own"" the world.
Bloodline elites don't follow governments, mainstream media, big pharma, laws, because they own them, tell-lie-vising what they want, eugenicists with a depopulation dream that don't let anything get in their way.",14,40,"authority"
1.24e+18,"It's never been so clear the worlds controlled by 13 bloodline elite sociopathic families reigning from their ivory towers, selecting government leaders in secret society meetings to do their depopulation dirty work to copy, paste, repeat their own new world order garden of eden.",11,30,"authority"
1.24e+18,"The only way out of this plandemic prison is for the entire new world order, house of cards &amp; matrix to fall, the totalitarian tyrants never rollback their agendas only modify them, changing a government is like changing a handle off the same depopulation dictatorship door.",7,28,"authority"
1.4e+18,"Why? Because it’s not lawful. 

Too many Governors in Aus obviously. https://t.co/iDN2bwCO7n",2,27,"authority"
1.08e+18,"I think Bill Bates should STFU, he wants to make law, then fuvking run for someting, otherwise sit the hell
down.
@BillGates https://t.co/rNlIE3FhJo",11,26,"authority"
1.33e+18,"@FredFredderson1 @JeanmarcBenoit Exactly and no even if you get your injection we still won't let you out until you get angry enough at the people who refuse to be coerced. Sows division because the vaxxed will blame the people who don't want it instead of the govt who put in the restrictions.",2,12,"authority"
222768222,"<U+26A0><U+FE0F>SIGN PETITION! “All British people should have the right to bodily autonomy and must never be coerced into receiving a medical intervention they may not want”. #NoVaccineMandates #NoVaccinePassports #HumanRights #Together https://t.co/0euyb6r74r https://t.co/DPQ5WskD9e",7,11,"authority"
977204844,"#Alberta daily case numbers are up 230% over summer 2020.
July 1 - Aug 26 2020 5106 cases
July 1 - Auf 26 2021 16854 cases
Under the lack of leadership from #Kenney #Hinshaw we have no guidance. No masking, sending kids back to school for the most part unvaccinated and no masks. https://t.co/DHj72estmk",9,9,"authority"
1.43e+18,"@crjohnson32 @CTVNews I would take Novavax if it was approved. Not everyone who's unvaccinated at this point is a ""crazy anti-vaxxer"", it's completely ridiculous that the media is spreading this kind of nonsense to the public.
The only party moving goalposts here is our lovely government.",3,8,"authority"
1.28e+18,"In the month of June, 10,000 more Americans died of COVID.

99.2% of them were unvaccinated.

GET. FUCKING. VACCINATED.",2497,8320,"care"
27493883,"99.5% of all deaths from Covid-19 in this country are among the unvaccinated. Pass it on.  
#GetVaccinatedOrGetCovid",2497,5827,"care"
18831926,"2) “Freedom to not vaccinate” is also not cool when you take up other people’s much needed hospital beds. When freedom hurts others, that crosses the line—like his wife with stage 4 breast cancer but got discharged from treatment early by a likely unvaccinated #COVID19 patient. https://t.co/haVovg59YA",383,1365,"care"
8.82e+17,"Unvaccinated children in schools will efficiently transmit B1617 and go home to infect others. 

This will cause a total loss of control of B1617 in the community as we are seeing now in the UK &amp; as we saw before with B117 in the UK. 

Schools must be heavily mitigated or closed.",419,1080,"care"
49445813,"The only people hated more than the unvaccinated are the vaccinated who complain about the harms they experienced.",213,1031,"care"
49445813,"When I’m the last unvaccinated person on Earth, can you imagine all the worldwide havoc I’ll be responsible for?!?!",53,695,"care"
1934787661,"ENOUGH IS ENOUGH

People who are vaccinated are being denied needed medical care because no beds.

I call for those who are eligible adults who did not get vaxxed and now have covid to be LOWER priority than someone w a heart attack or in an auto accident or cancer treatment.... https://t.co/CUVSfs6UUB",177,442,"care"
44916155,"@SandraWeeden If the unvaccinated are the people getting ill why do double jabbed need a booster?",59,266,"care"
1.21e+18,"IF vaccines work to eradicate a respiratory virus it works for everyone no matter if you're vaccinated or not.

When you see government policy segregating between the vaxxed/unvaxxed you know it has nothing to do with #health.

Prove me otherwise.",75,263,"care"
298619241,"It's hitting people 16-50 unvaccinated the most and then older than 50 vaccinated people

I just want people to be safe. I only care about getting the msg to those who care about their health and believe in science 

The trolls can keep yapping they know nothing so I couldnt care",27,228,"care"
